question,answer
A traveller has recently returned from an affected location. What should they do?,"If there are local procedures in place from the local health authorities, these must be followed. Many locations are requiring travellers from some or all locations to quarantine themselves for 14 days.

If there are no requirements, anyone who has been in an affected location should monitor their health for 14 days. If symptoms develop, seek medical care according to the local procedure. When travelling to medical care, consider wearing a mask, use private transport, avoid contact with others as much as possible. Ensure you provide your travel and potential exposure history to the medical facility."
Should we stop face-to-face meetings?,"If there are local restrictions on gatherings, you must comply with these. Any activity that involves gathering people in close proximity in an enclosed space risks spreading the virus and in the event that someone is confirmed infected, there are potentially large numbers of contacts who must self-quarantine for 14 days. Non-essential meetings are best postponed, or carried out via remote video link if possible."
What are the symptoms of COVID-19?,"Fever, dry cough, fatigue and loss of appetite are the most common symptoms.
Sore throat and dry cough may be the first symptoms.
Headache, confusion, runny nose, diarrhea, and nausea and vomiting can occur but are less common (< 10%).
Loss of taste and smell have been reported.
Shortness of breath is reported by 30-40% of patients. If pneumonia develops, shortness of breath can get much worse requiring hospital treatment with oxygen or even mechanical ventilation.
It should be noted that some patients diagnosed with COVID-19 have not yet developed symptoms (pre-symptomatic).
Also, about 35% of people infected with the virus that causes COVID-19 do not develop symptoms (asymptomatic).
 

 "
What laboratory and imaging findings are characteristic of COVID-19?,"Lymphopenia is the most common laboratory finding and may be present in up to 83% of hospitalized patients.
Elevated WBCs (white blood cells), LDH (lactate dehydrogenase), D-dimer, CRP (C-reactive protein), and ferritin may be associated with worse illness severity.
Chest x-ray may be normal early in the disease but progresses to bilateral, airspace consolidation.
Chest CT scan is often normal early in the disease. As the disease progresses chest CT scan abnormalities (eg, peripheral ground glass opacities) may develop but are not specific and overlap with other infections. Therefore, the American College of Radiology does not recommend chest CT for screening or as a first-line diagnostic test for COVID-19. "
What proportion of COVID-19 cases are asymptomatic carriers?,"Asymptomatic infection seems to be quite common, with reported incidence ranging from 13% to > 50%. However, because asymptomatic people have typically not been tested, the actual incidence is unknown. According to the CDC, the best estimate is that about 35% of people infected with the virus that causes COVID-19 are asymptomatic. Some patients diagnosed during the asymptomatic period progressed to symptomatic disease while others remained without symptoms."
What’s the incubation period for COVID-19?,"An average of about 4 to 5 days, and almost always between 1 and 14 days. Almost 98% of people who develop symptoms will do so in 12 days or less after they become infected."
"What’s the case fatality rate for COVID-19, and what are significant risk factors for mortality?","The Case Fatality Rate (%) = the number of deaths / the number of confirmed COVID-19 cases x 100 and therefore will depend on the number of people tested and their clinical status (ie, testing more minimally symptomatic or asymptomatic people will lead to lower case fatality estimates than when testing is concentrated on highly symptomatic patients as was done earlier in the pandemic). It is likely that many cases have not been tested and thus identified, whereas the number of deaths attributed to COVID-19 are more accurately identified. Thus, the apparent risk of death varies widely depending on how much testing is done in a given region.

The risk of a COVID-19 infection resulting in death varies widely by a person's age and overall health. Older people are much more likely to die. Although death is uncommon in younger people, it does occur. We don’t fully understand why some younger people are susceptible.

Other factors that make death more likely are serious disorders such as

Heart and lung disorders
Disorders or use of drugs that interfere with the immune system
Longstanding cigarette smoking
Chronic kidney disease
Diabetes
Cancer
Hypertension
Liver disease
Severe obesity
Prior stroke

People who have these disorders may be able to decrease their risk by keeping the disorder under control (for example, maintaining the best levels of blood sugar or blood pressure).

A preliminary study suggested that people with type A blood may be at significantly higher risk of respiratory failure due to COVID-19 while type O blood may be protective. "
How long does the COVID-19 illness last?,"Much about this is still unknown. However, mild disease tends to subside in about 2 weeks. If disease is severe, median time to development of dyspnea is 5 to 8 days and to acute respiratory distress syndrome (ARDS) is 8 to 12 days. Among hospitalized patients, 26% to 32% were admitted to the ICU. Mortality among ICU patients ranges from 39% to 72%. The median length of hospitalization among survivors was 10 to 13 days.

"
What precautions should I take to prevent COVID-19 in clinical practice?,"Follow the procedures and guidelines of your particular institution and practice, but in general, in addition to routine precautions of frequent, thorough handwashing and surface disinfecting, CDC recommendations (https://www.cdc.gov/coronavirus/2019-ncov/hcp/clinic-preparedness.html) include the following:

Use telemedicine as much as possible (eg, for follow-ups, triage of complaints).
Consider rescheduling non-urgent appointments.
Post signs at entrances and in waiting areas about prevention actions.
Allow patients to wait outside or in the car if they are medically able.
Establish a separate, well-ventilated triage area with some barrier between patient and staff.
In the waiting area and patient rooms, provide tissues, alcohol-based hand rub, soap at sinks, and trash cans. Place chairs 6 feet (1.8 meters) apart, when possible. Use barriers (like screens), if possible.
If your office has toys, reading materials, or other communal objects, remove them or clean them regularly.
Screen patients for respiratory symptoms and fever or other signs of infectious illness and isolate symptomatic patients as soon as possible.
For COVID-19 positive patients, undiagnosed patients whose symptoms could be COVID-19, and patients within high-risk units (eg, ED, ICU), wear personal protective equipment (PPE), including a respirator (eg, N-95 or similar level of protection), face shield, gown, and gloves. Change PPE, at a minimum gown and gloves, between patients, washing hands before and after. If supplies of respirators are insufficient, change respirator at least daily and follow CDC guidance on cleaning and reuse (https://www.cdc.gov/coronavirus/2019-ncov/hcp/ppe-strategy/decontamination-reuse-respirators.html) as well as CDC guidance on optimizing the supply of PPE (https://www.cdc.gov/coronavirus/2019-ncov/hcp/ppe-strategy/index.html)"
What is the incidence of COVID-19 in infants and children?,"While it appears that children are at similar risk of infection from COVID-19 as adults, it is not possible to know the true incidence of infection; given that disease manifestations in children are much milder, testing is done less often in children. A just-published study in Pediatrics (DOI: 10.1542/peds.2020-0702), based on the experience in China with more than 2,000 children under the age of 18, showed that children of all ages appeared susceptible to COVID-19. More than a third of the children tested were confirmed to have been infected with the virus. Greater than 90% of pediatric patients experienced asymptomatic, mild, or moderate disease, while around 6% of children developed severe or critical illness."
Can pets get COVID-19 or spread it to people?,"Other coronaviruses cause disease in animals that can be spread to humans, but this is rare. However, there are isolated reports from outside the US of a few companion animals testing positive for COVID-19 after prolonged contact with humans. There are also reports of 2 cats in separate locations in New York State with COVID-19 infections which they likely caught from their owners. These 2 cats had mild symptoms. Also, tigers in a New York City zoo with symptomatic respiratory illness, including cough, were found to have COVID-19 infection.

Researchers in China have published a study online showing that domestic cats can be experimentally infected with the novel coronavirus that causes COVID-19. Cats given a high dose of the virus were also able to infect cats housed in adjacent cages, suggesting aerosol spread. Whether cats can serve as a reservoir host of the virus or transmit it to people has not been determined, but the risk of cats as a source of infection appears to be low. The researchers also attempted infection in ferrets, dogs, pigs, chickens, and ducks. The virus replicated poorly in dogs, pigs, chickens, and ducks, but efficiently in ferrets and cats.

Importantly, there is no evidence that pets can pass the COVID-19 virus infection to humans. However, until the situation is clearer, CDC recommends (https://www.cdc.gov/coronavirus/2019-ncov/daily-life-coping/animals.html) that pets not interact with people or animals outside the household. People with COVID-19 infection should limit contact with their pets and they and others in the household should wash their hands before and after contact with their pets."
Are patients who recover from COVID-19 clinical infection immune? How about asymptomatic carriers?,"Antibodies to SARS CoV-2 develop within a few days of infection, including in asymptomatic people. However, it is too early to tell whether antibody titers will be adequate to induce immunity to repeat infection and, if so, for how long. Studies done of other human coronavirus infections showed that immunity to the strains that cause colds typically lasts only a few months. Studies following the original SARS outbreak in the early 2000s showed that antibody levels to that coronavirus dropped significantly after about three years. The best current estimate is that most patients who had COVID-19 infection will have some immunity but that it is probably not lifelong.  "
When will a COVID-19 vaccine be available?,"For extensive information on vaccines in development for COVID-19

 https://www.nytimes.com/interactive/2020/04/30/opinion/coronavirus-covid-vaccine.html
 "
How important is lockdown in slowing COVID-19 transmission?,"While efforts to develop treatments and vaccines are progressing rapidly, it will still be some time before testing is complete and they will become available to the general population. Until then, the only intervention available to help people stay healthy in areas with significant COVID-19 is to break the transmission cycle by extreme social distancing (that is, a lockdown). The purpose of a lockdown is to decrease the likelihood that uninfected people will come into contact with infected people or surfaces contaminated by coronavirus. Only by decreasing the opportunity for the virus to spread will the pandemic be slowed and eventually controlled. In countries where this strategy was practiced, the infection rate and death rate indeed seem to be slowing. Areas with limited disease presence and transmission that have appropriate testing and tracking capability may consider less stringent measures than full lockdown (eg, physical distancing, mask wearing, and limiting size of gatherings).

 "
Can we identify which COVID-19 patients are going to decompensate and how quickly?,"The greatest risk factor for severe illness, complications, and death is

Age

The risk of a COVID-19 infection resulting in death varies widely by a person's age.Older people are more likely to die.


Other important risk factors from CDC are underlying medical conditions.  Early case fatality data show

No underlying medical conditions: 0.9%
Cardiovascular disease: 10.5%
Diabetes: 7.3%
Chronic respiratory disease, hypertension, and cancer about 6% each
Heart disease, hypertension, prior stroke, diabetes, chronic lung disease, and chronic kidney disease have all been associated with increased disease severity and worse outcomes.


For hospitalized patients who have COVID-19, factors associated with increased risk of decompensation and death include

Lymphopenia, neutrophilia
Elevated LDH, CRP, ALT, AST, and ferritin levels
Elevated D-dimer levels
 "
Who should have a COVID-19 test?,"The following patients should have SARS-CoV-2 testing with viral tests (ie, nucleic acid or antigen tests) 

Individuals with signs or symptoms consistent with COVID-19
Asymptomatic individuals with recent known or suspected exposure to SARS-CoV-2 to control transmission
Other special circumstances (https://www.cdc.gov/coronavirus/2019-ncov/hcp/testing-overview.html)
Practitioners are also encouraged to test for other causes of respiratory illness such as influenza and bacterial pneumonia.
"
What is the role of the COVID-19 antibody test?,"Tests for SARS-CoV-2 antibodies are now available. As with other serologic tests for infections, this test is good for diagnosing previous infection, but because of the lag in developing antibody titers is not a good test for initial diagnosis and/or screening.

One use of antibody assays is for a person suspected to have post-infectious syndrome (eg, multisystem inflammatory syndrome in children) caused by SARS-CoV-2 infection.

It is, of course, too early to tell what titer of antibodies is protective and for how long.

https://www.cdc.gov/coronavirus/2019-ncov/hcp/testing-overview.html

https://www.cdc.gov/coronavirus/2019-ncov/about/testing.ht

 "
 Is it safe to exercise outside in public?,"Solitary exercise in public (eg, walking, jogging, or hiking) is thought to be safe when done alone or with a person one lives with, but when other people are nearby, people should wear a mask and maintain social distancing (> 6 feet) from the others. Group sports (eg, basketball, soccer) are not recommended as the nature of the activity makes appropriate distancing impossible.

It might also be prudent to wear a mask and eye protection and maintain greater than standard social distancing from heavily exercising people (eg, runners, bikers) who are likely to be exhaling more heavily and thus potentially creating a larger zone of contaminated, exhaled air; however, these are not formal recommendations."
What are the similarities between COVID-19 and TB?,"For COVID-19, the risk of developing disease is not yet so well-known, but evidence to date suggests that older age and having comorbidities, such as hypertension, diabetes and coronary heart disease, are important risk factors of a poor outcome. It is not yet clear whether having comorbid lung disease like TB, or other infections such as HIV, will increase the severity of COVID-19 if infected with SARS-CoV-2, but there is increasing evidence that having chronic respiratory disease increases the chance of poor outcomes with COVID. Both COVID-19 and TB cause respiratory symptoms – cough and shortness of breath. Both cause fever and weakness. One of the biggest differences is the speed of onset. TB symptoms do not tend to occur immediately after infection and when they develop, but are of a gradual onset, often over a period of weeks or longer, unlike COVID-19, where symptoms can occur within a few days. TB usually has a period of time where bacteria are present in a person but the person is well and not infectious to others. During this time, the person has TB infection (sometimes referred to as latent TB), which has the potential to become TB disease in the future. Thus, a person exposed to TB bacteria may: become sick within weeks (likely due to a weakened immune system); sick after years of carrying the bacteria when the immune system becomes weakened and cannot fight off the disease anymore; or infected but never sick."
How deadly is COVID-19 compared to TB?,"The data regarding COVID-19 are changing daily (check the WHO Situational Dashboard for the latest figures), but the number of deaths due to COVID-19 is increasing daily. About 1.5 million people died from TB in 2018 and, of this total, over 250,000 were HIV positive. This relates to more than 4,000 deaths a day due to TB.

Mortality (death) rates determine the frequency of deaths in a specified population during a specified interval of time. With a novel disease like COVID-19, however, mortality rates are unreliable at this point in time due to a variety of factors. The COVID-19 mortality estimate may be unknown as we do not know exactly how many cases there are. This is due to underreporting and people with minimal or mild symptoms not being tested, and therefore not being factored into the total number of confirmed cases. This subsequently makes mortality estimates difficult. Some reports estimate mortality rates for COVID-19 anywhere from 1.5 to 20 percent, 20 percent being one of the highest estimates at the centre of the outbreak in Wuhan, China. In contrast, untreated TB has an average mortality rate of 45 percent. However, TB is not only preventable but treatable, and the global success rate reported by the WHO for those who started TB treatment in 2018 was 85 percent.

Thus, TB is technically deadlier than COVID-19, though one must consider the diseases themselves and other risk factors: age, HIV status, the quality of the body’s immune systems, etc. People with active, untreated TB are far more likely to die than even the highest projected mortality estimates for COVID-19, making it critical to address prevention and treatment options for TB. The advantage for TB is that we do have treatments that work, including for drug-resistant forms of TB. We also have treatments for the TB infection stage to prevent a person from becoming unwell with TB.

The co-infection of TB and COVID-19 is still being discussed, but there is the possibility both could exacerbate the natural symptoms of the other and have negative impacts on a person’s health."
"I am taking TB treatment, is there any guidance or recommendations for what a person on TB treatment should do if they get infected with COVID-19?","Currently there is no recommended drug treatment for COVID-19 and it is currently being managed by addressing a person’s symptoms. There is a large therapeutics trial, the SOLIDARITY trial, which may give more details on drug treatments for COVID-19 and many smaller trials are also underway. There is no vaccine currently to protect against COVID-19.

It is important that if you are experiencing mild symptoms that are similar to those of COVID-19, that you continue taking your TB treatment in order to completely cure your TB. There is no evidence currently that TB medications increase your risk of developing COVID-19.

If you are diagnosed with COVID-19, let the healthcare provider know that you are on TB treatment and inform your TB care provider. If you are started on any treatment for COVID-19, your care provider can check to make sure there are no interactions with other medications."
"What symptoms should I look for to know if I have either TB or COVID-19, given that some of the symptoms are the same?","the symptoms of COVID-19 can be similar to those of TB, with fever, cough and shortness of breath among the symptoms, but there is usually a difference in the speed that the symptoms start. COVID-19 symptoms are likely to be of more recent onset.

If you come into contact with someone known to have either TB or COVID-19, that increases your chance of having these diseases. Additionally, if you have been to an area with high TB rates or high rates of COVID-19, this information can also help your care provider in finding out the cause of your symptoms. 

If you are unwell and are showing the above symptoms and have a positive contact or travel history for either TB or COVID and/or have risk factors for either as outlined above, it is important that you are tested for both TB and COVID. When you visit the healthcare facility, let them know your symptoms and any risk factors you may have for either TB or COVID-19 so they can ensure the appropriate infection prevention and control measures can be implemented while the diagnosis is sought. (Infection prevention and control is the term that is used to help protect infections from being spread and includes things like hand washing, ensuring adequate space around someone with symptoms and barriers like masks and gloves.)

Tests for TB usually include testing sputum for TB bacteria. COVID-19 tests require either an upper respiratory nasopharyngeal (nasal) swab or a sputum test. If there are respiratory symptoms, a chest X-ray may be required to further refine the diagnosis and/or establish the severity of the illness.

In countries that have a high burden of TB, it is particularly important that people continued to be screened and tested for TB with tests for SARS-CoV-2offered in line with the national guidelines."
"I have recovered from TB, am I at greater risk of getting infected with COVID-19?","As COVID-19 is so new, there are no data currently on if those with or who have a previous history of TB are more at risk of worse outcomes. However, COVID-19 affects the lungs, and as we know that there is usually some left-over damage in the lungs following TB disease, which may put you at increased risk of developing more severe COVID-19 symptoms.

People who have had TB, particularly those who may have required lung surgery or who have been diagnosed with post-TB lung disease should consider limiting their exposure to high risk environments - this depends on your national situation with regards to the likelihood of COVID-19 circulating in your community. The key ways to protect yourself from COVID-19 include:

Regular hand-washing using soap and water or an alcohol-based hand rub
Social distancing - maintain at least 1 metre (3 feet) distance between yourself and anyone who is coughing or sneezing.
Good respiratory hygiene by covering your mouth and nose with your bent elbow or tissue when you cough or sneeze, then disposing of the used tissue immediately.
Avoid touching your face, mouth or eyes
In addition to the advice regarding regular handwashing, regular cleaning of surfaces and practicing social distancing measures, some of the ways to protect yourself include keeping in good general health. It has been shown that tobacco use (including tobacco smoking, vaping and using e-cigarettes) are at an increased risk of developing a more severe COVID-19 disease. If you do use tobacco products, it would be recommended to stop – this will not only protect you from severe COVID-19 disease but will be good for your lung health in general and also protect you from TB."
Do I need to wear a mask?,"Wearing a mask presents a barrier for the spread of both TB and COVID-19 as masks stop them from being distributed into the air if being worn by someone who has symptoms or being inhaled by or touched by others in the immediate environment.

Masks have been used in TB infection prevention and control for many years to reduce the risk of further spread of TB amongst family members of the affected person, the community and healthcare workers. For TB, as there is an effective treatment available, once a person is on the right treatment the risk of infecting others rapidly decreases and there is often no need to wear a mask.

For COVID-19, the WHO recommends that masks be worn by persons with symptoms but discourages healthy people from wearing masks in general. There is some evidence from China that voluntary wearing of masks by healthy or asymptomatic people in the community can help decrease the spread of COVID-19.

Mask wearing is part of a package of infection prevention and control interventions, and in isolation is likely to have a minimal impact on the transmission of TB or COVID-19. If you are at risk and in a high burden context (for either TB or COVID-19), adding mask-wearing to regular hand washing, social distancing, and cough hygiene practices may offer additional protection.

"
How will the TB response be affected?,"There are guidelines regarding the management of TB in emergencies that can help countries plan to ensure that TB services remain operational. It is very important that national TB services continue and that people have access to diagnostic services, treatments and support services for TB during this time of COVID-19. Given the impact that COVID-19 has had in countries with increasing cases, there are a number of risks for the TB response.

National TB programme staff being drafted into the COVID-19 response, creating staff shortages or increased workloads
National laboratory and diagnostic services focusing on COVID-19 activities, such that TB laboratory tests like rapid molecular tests and cultures are delayed and there is limited access to chest X-rays
Drug stock-outs and procurement issues. As global transport networks are reduced and countries involved in the manufacture of TB medications are affected, there may be delays in the procurement chain. If health systems are overwhelmed or there are staff shortages, stock management may be de-prioritised.
Social distancing measures and national quarantine measures may interrupt treatment support and TB contact tracing measures.
These are all risks that national TB programmes, WHO, donors and implementing partners need to work together to plan for and put in strategies to avoid. "
Do I need to stockpile my TB medicines?,"There are concerns regarding the global supply of medications.  Currently, none of the first-line TB drugs are being used for the management of COVID-19, and as such, there is not expected to be a re-directing of the medications themselves to people with COVID-19. High burden TB countries should have procurement and supply management systems in place to ensure adequate supplies of TB medications and timely ordering of new drugs to avoid stock-outs. International procurement agencies, such as the Stop TB Partnership’s TB Global Drug Facility, are working with governments to ensure TB supply chains are not affected. 

If you are on TB treatment, you should continue to take your medication as prescribed and keep your appointments with your care provider for medication refills. Given the rapidly evolving situation for COVID-19, when you next have an appointment with your care provider, it would be worth discussing options for medication refills if national quarantine measures are put in place."
What alternatives are available to ensure people in treatment for TB can continue to be given the proper support and supervision if directly observed therapy (DOT) is restricted due to social distancing and national quarantine measures?,"Social distancing is a type of measure used by public health officials to slow down or stop the spread of a disease, especially to allow healthcare systems a chance to ensure care can be offered to everyone who needs it. For social distancing, people are advised to stay at least one metre (three feet) away from each other to limit the spread of COVID-19, prompting many officials worldwide to cancel large scale events and gatherings in order to mitigate the spread of disease.

In many TB programmes, the daily observation of a person with TB taking medications is part of the treatment package for people with TB. Where daily observation of treatment is being recommended as a standard of care, it should be not only for the recording of medication adherence but to check for any side effects or issues with the treatment as well as offering support to the person with TB.

While the spread of COVID-19 continues, models of care that involve regular close contact may need to be reconsidered, particularly if national quarantine measures are put in place. There are alternatives to daily observed therapy (DOT), which can include self-administered therapy (SAT) and support utilising digital platforms such as video-observed therapy (VOT) and other mobile phone-supported adherence strategies, such as 99DOTS. There is increasing evidence that these, when implemented as part of a comprehensive package of care, can have the same outcomes as DOT and are often a more patient-centred approach to care.  While some of these systems require time and digital/mobile technologies to be implemented, TB programmes with large numbers of people using DOT should consider what options can be implemented in a short period of time, including prioritising DOT for those who need more support through their treatment and moving the majority to SAT.

If DOT approaches have to be quickly withdrawn from people on TB treatment due to national quarantine procedures, it is vital that TB programmes have a system in place to continue to support people on TB treatment, to ensure that any side effects from the medications can be addressed as well as support any psycho-social issues.

"
"I keep reading about new treatments and novel ways to protect yourself from COVID-19, how do I know if they are true?","SARS-CoV-2 is a very new virus and we are learning new things about it every day with regards to how it spreads, how we can protect ourselves from it, treatments that may be able to prevent you from falling ill or treat you if you become unwell with COVID-19. The best way to check the information that you are reading or that is being shared is to check reputable websites. The WHO updates its website daily with information on all aspects of COVID-19 (here). The United States Centers for Disease Control and Prevention (CDC) website also has regular updates on COVID-19 (here). These websites are reputable and trustworthy sources for the latest evidence and knowledge with regards to COVID-19."
What can I do to reduce stigma related to COVID-19 and other communicable diseases?,"We have learned from our experience with TB of the effects of stigma on people with or at risk of disease and the importance of the language we use when describing the illness. We have seen the similar use of stigmatising language by the media and others when discussing people who have COVID-19. It is important that we adhere to the language guidance issued by WHO, which mirrors many of the lessons we have learned in TB to minimise stigma experienced by people affected by COVID-19.

Stigma can be one of the most powerful barriers to delivering prevention, treatment and care to those most in need, and can negatively affect those with the disease, as well as their caregivers, family, friends and communities.  It is important that we refer to the virus by its name, not by the place of origin or the region that the virus initially affected.

Person-centred language is language that respects and empowers people, putting the person before the disease. For example, say “person with COVID-19” or “person showing symptoms of COVID-19” rather than using phrases like “COVID-19 victims” or “suspected cases”. The language we use shapes our understanding of the situation, and it is essential that we avoiding blaming others or ostracising a person who may be ill with disease. Read the WHO’s guidance on stigma for more information."
What is COVID-19?,"COVID-19 infection is a disease caused by a novel coronavirus that leads to a respiratory illness and can be spread from person to person. COVID-19 has now spread globally, including to the United States. While COVID-19 is a “new” disease, coronaviruses have been known and studied for many years at the Perelman School of Medicine and other academic centers of research."
What are the symptoms of COVID-19?,"Symptoms of this virus can be very similar to other seasonal respiratory infections like colds and influenza, or “the flu.” Most commonly these include fever, muscle aches, cough, and difficulty breathing. In addition, patients may experience chills, repeated shaking with chills, muscle pain, headache, sore throat and new loss of taste or smell.Many people have the COVID-19 infection with no symptoms at all (asymptomatic infection). Most patients with COVID-19 have only mild flu-like and respiratory symptoms, which can be managed at home. However, some patients may develop severe pneumonia and breathing problems that require hospitalization."
Am i risk to covid-19?,"At this time, COVID-19 is widespread throughout many communities within the United States, and it is essential to continue to practice social distancing (and other measures as recommended by your local or national governments) to protect yourself and your family from coming into contact with the virus.You may be particularly at risk for getting the virus if you have traveled to an area with widespread transmission or live in an area of the country with a particularly high number of cases. If you live in Pennsylvania, the state government updates information on the number of cases in Pennsylvania
by county every day.You should discuss with your primary care doctor if you are concerned about exposure to people with known COVID-19 infection, or if you have symptoms such as fever and cough or shortness of breath"
What is a coronavirus?,"Coronaviruses are a large family of viruses which may cause illness in animals or humans. In humans, several coronaviruses are known to cause respiratory infections ranging from the common cold to more severe diseases such as Middle East Respiratory Syndrome (MERS) and Severe Acute Respiratory Syndrome (SARS). The most recently discovered coronavirus causes coronavirus disease COVID-19."
What is COVID-19?,"COVID-19 is the infectious disease caused by the most recently discovered coronavirus. This new virus and disease were unknown before the outbreak began in Wuhan, China, in December 2019."
What are the symptoms of COVID-19?,"The most common symptoms of COVID-19 are fever, tiredness, and dry cough. Some patients may have aches and pains, nasal congestion, runny nose, sore throat or diarrhea. These symptoms are usually mild and begin gradually. Some people become infected but don't develop any symptoms and don't feel unwell. Most people (about 80%) recover from the disease without needing special treatment. Around 1 out of every 6 people who gets COVID-19 becomes seriously ill and develops difficulty breathing. Older people, and those with underlying medical problems like high blood pressure, heart problems or diabetes, are more likely to develop serious illness. People with fever, cough and difficulty breathing should seek medical attention."
How does COVID-19 spread?,"People can catch COVID-19 from others who have the virus. The disease can spread from person to person through small droplets from the nose or mouth which are spread when a person with COVID-19 coughs or exhales. These droplets land on objects and surfaces around the person. Other people then catch COVID-19 by touching these objects or surfaces, then touching their eyes, nose or mouth. People can also catch COVID-19 if they breathe in droplets from a person with COVID-19 who coughs out or exhales droplets. This is why it is important to stay more than 1 meter (3 feet) away from a person who is sick."
Can the virus that causes COVID-19 be transmitted through the air?,"Studies to date suggest that the virus that causes COVID-19 is mainly transmitted through contact with respiratory droplets rather than through the air. See previous answer on ""How does COVID-19 spread?"""
Can CoVID-19 be caught from a person who has no symptoms?,"The main way the disease spreads is through respiratory droplets expelled by someone who is coughing. The risk of catching COVID-19 from someone with no symptoms at all is very low. However, many people with COVID-19 experience only mild symptoms. This is particularly true at the early stages of the disease. It is therefore possible to catch COVID-19 from someone who has, for example, just a mild cough and does not feel ill."
Can I catch COVID-19 from the feces of someone with the disease?,"The risk of catching COVID-19 from the feces of an infected person appears to be low. While initial investigations suggest the virus may be present in feces in some cases, spread through this route is not a main feature of the outbreak. Because this is a risk, however, it is another reason to clean hands regularly, after using the bathroom and before eating."
How likely am I to catch COVID-19?,"The risk depends on where you are - and more specifically, whether there is a COVID-19 outbreak unfolding there. For most people in most locations the risk of catching COVID-19 is still low. However, there are now places around the world (cities or areas) where the disease is spreading. For people living in, or visiting, these areas the risk of catching COVID-19 is higher. Governments and health authorities are taking vigorous action every time a new case of COVID-19 is identified. Be sure to comply with any local restrictions on travel, movement or large gatherings. Cooperating with disease control efforts will reduce your risk of catching or spreading COVID-19. COVID-19 outbreaks can be contained and transmission stopped, as has been shown in China and some other countries. Unfortunately, new outbreaks can emerge rapidly. It's important to be aware of the situation where you are or intend to go."
Should I worry about COVID-19?,"Illness due to COVID-19 infection is generally mild, especially for children and young adults. However, it can cause serious illness: about 1 in every 5 people who catch it need hospital care. It is therefore quite normal for people to worry about how the COVID-19 outbreak will affect them and their loved ones. We can channel our concerns into actions to protect ourselves, our loved ones and our communities. First and foremost among these actions is regular and thorough hand-washing and good respiratory hygiene. Secondly, keep informed and follow the advice of the local health authorities including any restrictions put in place on travel, movement and gatherings."
Who is at risk of developing severe illness?,"While we are still learning about how COVID-2019 affects people, older persons and persons with pre-existing medical conditions (such as high blood pressure, heart disease, lung disease, cancer or diabetes) appear to develop serious illness more often than others."
Are antibiotics effective in preventing or treating the COVID-19?,"No. Antibiotics do not work against viruses, they only work on bacterial infections. COVID-19 is caused by a virus, so antibiotics do not work. Antibiotics should not be used as a means of prevention or treatment of COVID-19. They should only be used as directed by a physician to treat a bacterial infection."
Are there any medicines or therapies that can prevent or cure COVID-19?,"While some western, traditional or home remedies may provide comfort and alleviate symptoms of COVID-19, there is no evidence that current medicine can prevent or cure the disease. However, there are several ongoing clinical trials that include both western and traditional medicines."
"Is there a vaccine, drug or treatment for COVID-19?","Not yet. To date, there is no vaccine and no specific antiviral medicine to prevent or treat COVID-2019. However, those affected should receive care to relieve symptoms. People with serious illness should be hospitalized. Most patients recover thanks to supportive care. Possible vaccines and some specific drug treatments are under investigation. They are being tested through clinical trials. The most effective ways to protect yourself and others against COVID-19 are to frequently clean your hands, cover your cough with the bend of elbow or tissue, and maintain a distance of at least 1 meter (3 feet) from people who are coughing or sneezing."
Is COVID-19 the same as SARS?,"No. The virus that causes COVID-19 and the one that caused the outbreak of Severe Acute Respiratory Syndrome (SARS) in 2003 are related to each other genetically, but the diseases they cause are quite different. SARS was more deadly but much less infectious than COVID-19. There have been no outbreaks of SARS anywhere in the world since 2003."
Should I wear a mask to protect myself?,Only wear a mask if you are ill with COVID-19 symptoms (especially coughing) or looking after someone who may have COVID-19. Disposable face mask can only be used once. If you are not ill or looking after someone who is ill then you are wasting a mask.
How long is the incubation period for COVID-19?,"The ""incubation period"" means the time between catching the virus and beginning to have symptoms of the disease. Most estimates of the incubation period for COVID-19 range from 1-14 days, most commonly around five days. These estimates will be updated as more data become available."
Can humans become infected with the COVID-19 from an animal source?,"Coronaviruses are a large family of viruses that are common in animals. Occasionally, people get infected with these viruses which may then spread to other people. For example, SARS-CoV was associated with civet cats and MERS-CoV is transmitted by dromedary camels. Possible animal sources of COVID-19 have not yet been confirmed. To protect yourself, such as when visiting live animal markets, avoid direct contact with animals and surfaces in contact with animals. Ensure good food safety practices at all times. Handle raw meat, milk or animal organs with care to avoid contamination of uncooked foods and avoid consuming raw or undercooked animal products."
Can I catch COVID-19 from my pet?,No. There is no evidence that companion animals or pets such as cats and dogs have been infected or could spread the virus that causes COVID-19.
How long does the virus survive on surfaces?,"It is not certain how long the virus that causes COVID-19 survives on surfaces, but it seems to behave like other coronaviruses. Studies suggest that coronaviruses (including preliminary information on the COVID-19 virus) may persist on surfaces for a few hours or up to several days. This may vary under different conditions (e.g. type of surface, temperature or humidity of the environment). If you think a surface may be infected, clean it with a simple disinfectant to kill the virus and protect yourself and others. Clean your hands with an alcohol-based hand rub or wash them with soap and water. Avoid touching your eyes, mouth, or nose."
Is it safe to receive a package from any area where COVID-19 has been reported?,"Yes. The likelihood of an infected person contaminating commercial goods is low and the risk of catching the virus that causes COVID-19 from a package that has been moved, travelled, and exposed to different conditions and temperature is also low."
Is there anything I should not do?,"These measures are not effective against COVID-2019 and can be harmful: Smoking, Wearing multiple masks, Taking antibiotics. In any case, if you have fever, cough and difficulty breathing seek medical care early to reduce the risk of developing a more severe infection and be sure to share your recent travel history with your health care provider."
